epoch,train_g_loss,train_pd_loss,train_g_error
0,5.354727171469426,0.2475966528274011,60.905793452608414
1,2.779245642648227,0.039826753522282925,10.554926423058994
2,2.5082633460777393,0.03174635041100175,8.592928727467855
3,2.2781558606935586,0.05314250768202802,7.056020494820415
4,2.0985204499700796,0.0832143729093714,5.970198672750722
5,1.9809679829556008,0.0531767629613371,5.325439961060233
6,1.7729820997818657,0.06968713372243919,4.329499669696974
7,1.736551450646442,0.09751941673997519,4.21043995152349
8,1.6307169527247332,0.0874620881471513,3.7534545089887534
9,1.6374783654143845,0.07745816403379042,3.7983559974725694
10,1.5503750538480454,0.10615724780043398,3.4229960959890615
11,1.539533471715623,0.10565440313539644,3.3922965975775234
12,1.5391839448956475,0.08410998317750468,3.3794385885846787
13,1.4483750920364822,0.1291940539697374,3.0567436045494634
14,1.420986268831336,0.14889430717659602,2.9474755180054815
15,1.4061377428580022,0.12559301581611668,2.9071275082187378
16,1.3745280383289724,0.15099483102128125,2.76565032247184
17,1.4289921798567842,0.15583205023321553,2.960425665413124
18,1.3553012298501057,0.12524239294419903,2.7268650687259175
19,1.323249908461087,0.1223432503208734,2.5968166745227315
20,1.2966054297875667,0.14534885445744664,2.4926434582558232
21,1.2727043801459714,0.15556927455211247,2.4065788137739985
22,1.2248212755590244,0.1575956343524698,2.263086972029313
23,1.2221337194028108,0.15648516152809927,2.250841603762862
24,1.2342104618100151,0.17134820425585992,2.271319938742596
25,1.2222168117329695,0.1575643236654392,2.2372486435848735
26,1.2102761752363564,0.1505051940355612,2.2116886342781177
27,1.1870597799619038,0.15989839611575007,2.1068575624106587
28,1.1441163800764775,0.12733548999750527,1.9939036300216897
29,1.1938642738521963,0.19091912358999252,2.1297623592874277
30,1.1039129253746807,0.15933973998155282,1.8692624188851619
31,1.1150441774423572,0.15538684527079263,1.8934084315230881
32,1.1067526547805122,0.14472219833861227,1.8699940771296404
33,1.064868946870168,0.15512400804816381,1.7376731876013936
34,1.0890046124872954,0.15833831344987603,1.809835898703423
35,1.0439701702283777,0.1607849193547947,1.6794421811034714
36,1.0468200237854668,0.1615395782434422,1.684641463169153
37,1.051404180734054,0.13660204897810152,1.6988435620846956
38,1.0468604184579158,0.16105187481836133,1.6852721355963445
39,1.009934249131576,0.15830262906957362,1.586088144260904
40,0.9987860140593156,0.1398761771025433,1.5383043271907861
41,0.976839416268943,0.15532312293847403,1.4825146682020547
42,0.9510139546532562,0.13352230701433576,1.4072284629379495
43,0.9384772259256114,0.1449803830920786,1.3766810237497524
44,0.9892655870188838,0.12794944290341675,1.5054132765617922
45,0.950978514077007,0.12699041773389647,1.3966258738351904
46,0.9333624502886897,0.12382323467645093,1.3451356032620305
47,0.8951946721560713,0.12362774186160254,1.2533725310063017
48,0.9241456208021744,0.12786131526303032,1.3277846229249153
49,0.8997577826182047,0.14809240527666998,1.2657351372898489
50,0.877699847670569,0.1555764899737593,1.2136713119520657
51,0.8960098771081455,0.11540110603622768,1.2553578805232393
52,0.8817392656768578,0.1184964272045139,1.2166406805964485
53,0.8850536044093146,0.13723096073321675,1.2082849032637002
54,0.8474912565687428,0.11729730190574258,1.1295507515686145
55,0.8266687177229619,0.10173905389788358,1.0821226541546807
56,0.8128672302633092,0.11184005203076462,1.046606207239455
57,0.8176468878552534,0.12462525615009709,1.0558734648469565
58,0.8088232969892197,0.1232715691237346,1.0317186799602232
59,0.8626368710960167,0.12219905967999628,1.156267043473064
60,0.7868193146111309,0.11102953263005053,0.9835051773250967
61,0.7919850962749426,0.12160340858542401,0.9885309278101161
62,0.7869628019954847,0.10895700938999653,0.9772334893544515
63,0.7929956869802613,0.10986338690787122,0.987311487612517
64,0.7786227715188179,0.07806894420713618,0.964171044204546
65,0.7605162522067195,0.08887685968986024,0.9216849268346593
66,0.7507595540820688,0.1464889391824819,0.9007136035656583
67,0.7635048619215039,0.11923711933195591,0.929799206878828
68,0.7743146575015524,0.11502510595364847,0.9475463412810063
69,0.7442675319270812,0.1195726813343556,0.8872075685556384
70,0.7332856706950975,0.11313313818064288,0.8609703407771345
71,0.7497446787530098,0.08682055744356003,0.8942420093909554
72,0.7267888862153759,0.12963929532122784,0.8435446827307992
73,0.7164677502452463,0.10945037549928478,0.824021287586378
74,0.7237472560094751,0.08985966110629016,0.8389473462450332
75,0.7193791520768318,0.08816116297806519,0.8272284658058829
76,0.7139349234276924,0.0961587822901598,0.8132846778717594
77,0.7112847350645757,0.10148314543176389,0.8093478360037872
78,0.6889841746592867,0.10929841181074364,0.767159244288569
79,0.6861505802126898,0.10017968788473071,0.7594603904779407
80,0.7057943585990132,0.1076234365556983,0.7933047508847886
81,0.6735807717710302,0.10074084476176379,0.7338825412418531
82,0.6537616788477137,0.09311027884267378,0.6993492496186409
83,0.6764027009839597,0.10776324419007785,0.7392365085905876
84,0.65375673684521,0.11466792252832565,0.6983577781829281
85,0.6710976068524347,0.10861070883338866,0.7258351574773374
86,0.6859627193298893,0.11891011013716891,0.7496183929236039
87,0.6503818847131038,0.10607054270803928,0.6879051319067029
88,0.635856929032699,0.11004413648144058,0.6590663306954978
89,0.62555156842522,0.11098128883842973,0.6478061270022738
90,0.6344711365907089,0.08232399178803831,0.656639385914457
91,0.6712961317836375,0.08551149432668867,0.7246505622414575
92,0.6203735133875972,0.07139365771866363,0.6292467773824498
93,0.6248492512150087,0.13440143929767437,0.6371674520381982
94,0.6252010127772456,0.10445221667380436,0.6359652254892432
95,0.605705395988796,0.10388224215611168,0.6065356234709421
96,0.5885416908540587,0.09474348565698534,0.5737833462763524
97,0.6119977106218752,0.1009890535792363,0.6129148542017177
98,0.6222141549207162,0.08276256404655136,0.6316623100336047
99,0.600101465764253,0.10105834123880966,0.5917132565940636
100,0.5852648874987727,0.09022532435862915,0.5683660986630813
101,0.5947515161141105,0.09940124373289122,0.5833677360113116
102,0.609713311644568,0.10118172676774903,0.6077004195987314
103,0.5971769353617793,0.1349929666173631,0.5853951819564985
104,0.5748933441397073,0.13521260719584383,0.5476261135460674
105,0.5761523462723994,0.09209465702482755,0.5510163199210513
106,0.5824101722758749,0.08491235979549262,0.560145128896271
107,0.5863885853601538,0.0944265586634477,0.5635966684507288
108,0.5757881415926892,0.1110258761631406,0.5504789352416992
109,0.5760512166265128,0.10410529499252637,0.5488775830337966
